nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
ch,MTR,"<tspan style=""text-decoration:overline"">45</tspan>&#x273D;",[2-13],,2,4,B(11),,,chM452,0.1,,,
ch,MTR(g),"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[2-13],,3,5,B11,,,chM50g,0.1,,,
ch,Malf,,,,,,,1/6,,chM50gb,0.1,,,
ch,dmMTR(g),50mm,,,,3,,,,chM50gdm,0.1,,,
ch,dmMTR(g),50mm,,,,3,X,,,chM50gdmb,0.1,,,
ch,MTR(j),"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[2-13]&#x2a;,,2[*],4,B11,,,chM50j,0.1,,,
ch,Malf,,,,,,,1/6,,chM50jb,0.1,,,
ch,dmMTR(j),50mm,,,,2,,,,chM50jdm,0.1,,,
ch,dmMTR(j),50mm,,,,2,X,,,chM50jdmb,0.1,,,
ch,MTR(r),"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[3-20],,3,5,B11,,,chM50r,0.1,,,
ch,Malf,,,,,,,1/6,,chM50rb,0.1,,,
ch,dmMTR(r),50mm,,,,3,,,,chM50rdm,0.1,,,
ch,dmMTR(r),50mm,,,,3,X,,,chM50rdmb,0.1,,,
ch,MTR,"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-45],,3,5,B11,,,chM60,0.1,,,
ch,Malf,,,,,,,1/6,,chM60b,0.1,,,
ch,dmMTR,60mm,,,,3,,,,chM60dm,0.1,,,
ch,dmMTR,60mm,,,,3,X,,,chM60dmb,0.1,,,
ch,Phone,11,,,,,X12,,?,chphone,0.1,,,
ch,_phone,,,,,,,,,chphoneb,0.1,,,
ch,Radio,6&#47;7&#47;8,,,,1,,,?,chradio,0.1,,,
ch,,,,,,,,,,chradiob,0.1,copy,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
