nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
ax,dmMTR(r),50mm,,,,2,X,,,axMTRrdmb,0.1,,,
ax,PF,16,3,,,,,,,axPF,0.1,extra=31TK@E:44.5:32.0,,
ax,_pf,,,,,,,,,axPFb,0.1,,,
ax,Phone,11,,,,,X12,,?,axphone,0.1,,,
ax,_phone,,,,,,,,,axphoneb,0.1,,,
ax,Radio,7,,,,1,,,?,axradio,0.1,,,
ax,Malf,,,,,,,1/6,,axradiob,0.1,,,
hu,ATR,1,12,,,1,,,,huATR,0.1,,,
hu,Malf,,,,,,,1/6,,huATRb,0.1,,,
hu,,,,,,,,,,huATR20,0.1,copy,,
hu,Malf,,,,,,,1/6,,huATR20b,0.1,,,
hu,DC,30,1,,,1,X12,,?,huDC,0.1,,,
hu,_dc,,,,,,,,,huDCb,0.1,,,
hu,FT,24,1,,,1,X10,,?,huFT,0.1,,,
hu,_ft,,,,,,,,,huFTb,0.1,,,
hu,LMG,2,7,yes,1,1,B11,,,huLMG,0.1,,,
hu,Malf,,,,,,,1/6,,huLMGb,0.1,,,
hu,LMG(f),2,6,yes,1,1,B11,,,huLMGf,0.1,,,
hu,Malf,,,,,,,1/6,,huLMGfb,0.1,,,
hu,LMG(g),3,8,yes,1,1,,,,huLMGg,0.1,,,
hu,Malf,,,,,,,1/6,,huLMGgb,0.1,,,
hu,LMG(i),2,5,yes,1,1,B11,,,huLMGi,0.1,,,
hu,Malf,,,,,,,1/6,,huLMGib,0.1,,,
hu,MMG,4,10,yes,2,4,B11,,,huMMG,0.1,,,
hu,Malf,,,,,,,2/6,,huMMGb,0.1,,,
hu,dmMMG,,,,,2@35.0:24.0,,,,huMMGdm,0.1,,,
hu,dmMMG,,,,,2@35.0:24.0,X,,,huMMGdmb,0.1,,,
hu,HMG,6,12,yes,3,5,B11,,,huHMG,0.1,,,
hu,Malf,,,,,,,3/6,,huHMGb,0.1,,,
hu,dmHMG,,,,,3@40.0:24.0,,,,huHMGdm,0.1,,,
hu,dmHMG,,,,,3@40.0:24.0,X,,,huHMGdmb,0.1,,,
hu,dmMTR,81mm,,,,5,,,,huMTR81dm,0.1,,,
hu,dmMTR,81mm,,,,5,X,,,huMTR81dmb,0.1,,,
hu,dmMTR(g),81mm,,,,5,,,,huMTR81gdm,0.1,,,
hu,dmMTR(g),81mm,,,,5,X,,,huMTR81gdmb,0.1,,,
hu,MTR,"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[2-13],,3,5,B11,,,huMTR,0.1,,,
hu,Malf,,,,,,,1/6,,huMTRb,0.1,,,
hu,dmMTR,50mm,,,,3,,,,huMTRdm,0.1,,,
hu,dmMTR,50mm,,,,3,X,,,huMTRdmb,0.1,,,
hu,MTR(h),"<tspan style=""text-decoration:overline"">50</tspan>",[2-11],,2,5,B11,,,huMTRh,0.1,,,
hu,Malf,,,,,,,1/6,,huMTRhb,0.1,,,
hu,dmMTR(h),50mm,,,,3,,,,huMTRhdm,0.1,,,
hu,dmMTR(h),50mm,,,,3,X,,,huMTRhdmb,0.1,,,
hu,MTR(r),"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[3-20],,3,4,,,,huMTRr,0.1,,,
hu,Malf,,,,,,,1/6,,huMTRrb,0.1,,,
hu,dmMTR(r),50mm,,,,2,,,,huMTRrdm,0.1,,,
hu,dmMTR(r),50mm,,,,2,X,,,huMTRrdmb,0.1,,,
hu,PF,16,3,,,,,,,huPanzerfaust,0.1,extra=31TK@E:44.5:32.0,,
hu,_pf,,,,,,,,,huPanzerfaustb,0.1,,,
hu,PSK,12,4,,,1@26.0:23.0,X10,,,huPSK,0.1,extra=26TK@E:44.5:26.5,,
hu,_psk,,,,,,,,,huPSKb,0.1,,,
hu,Phone,11,,,,,X12,,?,huphone,0.1,,,
hu,_phone,,,,,,,,,huphoneb,0.1,,,
hu,Radio,7,,,,1,,,?,huradio,0.1,,,
hu,Malf,,,,,,,1/6,,huradiob,0.1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
