count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
2,M1918M1 155mm Gun,ART,155,,11,425,<b>-1</b>,-1,17-44†,"NT, RFNM, AP4†<sup>1</sup>, WP8, no IF",31,1.6-1.5†,"19†, A†<sup>1</sup>, N",1.0,amAR155,,ma=[*]$$,,,,
2,M1A1 155mm Gun,ART,155L,,,584,<b>-3</b>,-1,7/43-45†,"NT, RFNM, AP4†<sup>1</sup>, s7<sup>5</sup>, WP8, no IF",34,1.5-1.3†,"20†, A†<sup>1</sup>",1.0,amAR155L,,ma=[*]$$,,,,
2,M1 8-in. Howitzer,ART,"<span style=""text-decoration:overline"">203</span>",,,421,<b>-4</b>,-1,11/43-45†,"NT, RFNM, no IF",36,1.6-1.4†,21†,1.0,amAR203,,ma=[*]$$,,,,
2,M51 Multiple .50-cal MG Carriage,AA,12.7,3 (24),,†,9,0,9/43-45,"T, 4 TK DR†, LF [2 ROF, 20 IFE, B11]",51,1.4,22†,1.0,amAA12,,ma=<*>$$|range=[16]TH@above_mgs@sz-2.5,mb=B11|rof=2|ife=(20)|range=[16]TH@above_mgs@sz-2.5,,,
4,M1A2 37mm AA Gun,AA,37L,3 (8),,202,7,0,39-45†,T,34,1.3-1.5†,"23†, N",1.0,amAA37L,,,no_fire,,,
4,M1 40mm AA Gun,AA,40L,3 (8),,247,8,0,9/43-45†,"T, LF [40†<sup>1</sup>, 2 ROF]",40,1.5-1.2†,"24†, B†<sup>1</sup>",1.0,amAA40L,,,ma=<*>40|rof=2|ife=(8),,,
2,M3 3-in. AA Gun,AA,76L,2,,370,<b>3</b>,-1,28-42,"T, NM",37,1.3,"25, P",1.0,amAA76L,,,,,,
2,M1A1 90mm AA Gun,AA,90L,2,,454,<b>2</b>,-1,43-45,"T, NM",47,1.6-1.4†,"26†, N",1.0,amAA90L,,,,,,
2,M2 90mm AA Gun,AA,90L,2,,454,<b>-3</b>,-1,6/44-45,"T, LF [90†, 1 ROF, B11]",53,1.5-1.3†<sup>1</sup>,"27†<sup>1</sup>, B†",1.0,amAA90,,,ma=<*>90|mb=B11|rof=1,,,
0,Generic AA,AA,,,,,,,,T,,,g1,1.0,amAAgen,1/,gt=AA|mount=T,no_fire,,,
0,Generic ART,ART,,,,,,,,,,,g2,1.0,amARgen,1/,,no_fire,,,
0,Generic AT,AT,,,,,,,,,,,g3,1.0,amATgen,1/,,no_fire,,,
0,Generic MTR,MTR,,,,,,,,,,,g4,1.0,amMTgen,1/,,no_fire,,,
