count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
2+<i>1</i>,Mitr. de 13.2 CAJ mle 30,AA,12.7,3 (12),<i>11</i>†,†<sup>1</sup>,<b>6</b>,1,31-5/43†<sup>1</sup>,"T, 2 TK DR†<sup>1</sup>, Towing NA†<sup>1</sup>",28†,1.3-1.6†<sup>1</sup>,"18†<sup>1</sup>, B, G†, V",1.0,frAA12,,ma=[*]$$|mb=,no_fire,,,
2,Mitr. de 20 CA mle 39 O,AA,20L,3 (4),,125,12,1,5/40-3/45†,"T, LF [NT, 20†, 2 ROF, B11]",29,1.3-1.6†,19†,1.0,frAA20L,,,ma=<*>20|mb=B11|mount=NT|rof=2|ife=(4),,,
2,Canon Auto. de 25 CA mle 38,AA,25LL,3 (6),<i>11</i>†,187,9,1,39-5/43†<sup>1</sup>,T,25†,1.4-1.5†<sup>1</sup>,"20†<sup>1</sup>, G†",1.0,frAA25LL,,mb=,no_fire,,,
2,Canon de 75 CA mle 32,AA,"<span style=""text-decoration:overline"">75</span>L",2,,,<b>4</b>,-1,35-3/45†,"T, NM",27,1.5-1.6†,21†,1.0,frAA75L,,,,,,
3+<i>2</i>,Mortier de 81 mle 27/31 (British colored),MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-71,11,+1,30-3/45,"NT, QSU, s8",28,1.3-1.1†,"3†, A, B, D, V",1.0,frMTR81sf,,bkg=br|range=$$,,,,
0,Canon AC de 47 SA mle 37 APX (1940),AT,"<span style=""text-decoration:underline"">47</span>L",3,<i>11</i>†,162,10,+1,39-5/43†<sup>1</sup>,"NT, QSU, APCR only†<sup>1</sup>",28†,1.3-1.5†,"6v†<sup>1</sup>, B, G†, P, V",1.0,frAT47L-40,,mb=B<i>11</i>^40,,,ignore,
2+<i>2</i>,Canon AC de 47 SA mle 37 APX (British colored),AT,"<span style=""text-decoration:underline"">47</span>L",3,<i>11</i>†,162,10,+1,39-5/43†<sup>1</sup>,"NT, QSU, APCR only†<sup>1</sup>",28†,1.3-1.5†,"6†<sup>1</sup>, B, G†, P, V",1.0,frAT47Lf,,bkg=br|ma=[*]$$|mb=,,,,
0,Mitr. de 13.2 CAJ mle 30 (1940),AA,12.7,3 (12),<i>11</i>†,†<sup>1</sup>,<b>6</b>,+1,31-5/43†<sup>1</sup>,"T, 2 TK DR†<sup>1</sup>, Towing NA†<sup>1</sup>",28†,1.3-1.6†<sup>1</sup>,"18v†<sup>1</sup>, B, G†, V",1.0,frAA12-40,,mb=B<i>11</i>^40,,,ignore,
2+<i>1</i>,Mitr. de 13.2 CAJ mle 30 (British colored),AA,12.7,3 (12),<i>11</i>†,†<sup>1</sup>,<b>6</b>,+1,31-5/43†<sup>1</sup>,"T, 2 TK DR†<sup>1</sup>, Towing NA†<sup>1</sup>",28†,1.3-1.6†<sup>1</sup>,"18†<sup>1</sup>, B, G†, V",1.0,frAA12f,,bkg=br|mb=|ma=[*]$$,no_fire,,,
0,Canon Auto. de 25 CA mle 38 (1940),AA,25LL,3 (6),<i>11</i>†,187,9,+1,39-5/43†<sup>1</sup>,T,25†,1.4-1.5†<sup>1</sup>,"20v†<sup>1</sup>, G†",1.0,frAA25LL-40,,mb=B<i>11</i>^40,,,ignore,
0,Generic AA,AA,,,,,,,,,,,g1,1.0,frAAgen,1/,gt=AA|mount=T,no_fire,,,
0,Generic ART,ART,,,,,,,,,,,g2,1.0,frARgen,1/,,no_fire,,,
0,Generic AT,AT,,,,,,,,,,,g3,1.0,frATgen,1/,,no_fire,,,
0,Generic Ino_fire,INF,,,,,,,,,,,g4,1.0,frINFgen,1/,,no_fire,,,
0,Generic MTR,MTR,,,,,,,,,,,g5,1.0,frMTRgen,1/,,no_fire,,,
