nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
ge,A,4,6,8,no,5,yes,yes,no,yes,13,ge468Sae,0.1,,,
ge,A,2,4,8/7,no,0,no,yes,no,yes,5,ge248Hae,0.1,,,
ge,[E],4,6,8,no,2,yes,no,no,no,13,ge468S,0.1,,,
ge,[E],2,4,8/7,no,0,no,no,no,no,5,ge248H,0.1,,,
ge,AE,5,4,8,yes,4,yes,no,no,yes,10,ge548Sae,0.1,,,
ge,AE,2,3,8/7,no,0,no,no,no,yes,5,ge238Hae,0.1,,,
ge,(E),5,4,8,yes,2,yes,no,no,no,10,ge548S,0.1,,,
ge,(E),2,3,8/7,no,0,no,no,no,no,5,ge238H,0.1,,,
ge,1,4,6,7,no,1,yes,no,no,no,10,ge467S,0.1,,,
ge,1,2,4,7/6,no,0,no,no,no,no,4,ge247H,0.1,,,
,[2],5,3,7,yes,1,yes,no,no,no,9,ge537S,0.1,,,
,[2],2,3,7/6,no,0,no,no,no,no,3,ge237H,0.1,,,
ge,2,4,4,7,no,0,yes,no,no,no,7,ge447S,0.1,,,
ge,2,2,3,7/6,no,0,no,no,no,no,3,ge237H,0.1,,,
ge,C,4,3,6/5,no,0,yes,no,no,no,3,ge436S,0.1,,,
ge,C,2,3,6/4,no,0,no,no,no,no,2,ge236H,0.1,,,
ge,crew,2,2,8,no,0,no,no,yes,no,8,ge228C|ss228C@ss,0.1,,,
ge,crew,1,2,7,no,0,no,no,yes,no,7,ge127C|ss127C@ss,0.1,,,
ge,P,5,4,8,yes,2,yes,no,no,no,10,ge548Sp,0.1,,,
ge,P,2,3,8/7,no,0,no,no,no,no,5,ge238Hp,0.1,,,
ge,P,2,2,8,no,0,no,no,yes,no,8,ge228Cp,0.1,,,
ge,P,2,2,8,no,0,no,no,no,no,10,ge228S,0.1,,,
ge,P,1,2,8/7,no,0,no,no,no,no,5,ge128H,0.1,,,
ge,P,1,2,8,no,0,no,no,yes,no,8,ge128C,0.1,,,
ge,broken,,,9,,,,,no,,,ges9b|sss9b@ss,0.1,,,
ge,broken,,,8,,,,,no,,,ges8b|sss8b@ss,0.1,,,
ge,broken,,,7,,,,,no,,,ges7b,0.1,,,
ge,broken,,,6,,,,,no,,,ges6b|sss6b@ss,0.1,,,
ge,broken,,,5,,,,,no,,,ges5b,0.1,,,
ge,broken,,,0,,,,,no,,,ges0b|sss0b@ss,0.1,,,
ge,broken,,,8,,,,,no,,,ge468Saeb,0.1,,,
ge,broken,,,8,,,,,no,,,geh8b|ssh8b@ss,0.1,,,
ge,broken,,,7,,,,,no,,,geh7b|ssh7b@ss,0.1,,,
ge,broken,,,6,,,,,no,,,geh6b,0.1,,,
ge,broken,,,5,,,,,no,,,geh5b|ssh5b@ss,0.1,,,
ge,broken,,,4,,,,,no,,,geh4b,0.1,,,
ge,broken,,,0,,,,,no,,,geh0b|ssh0b@ss,0.1,,,
ge,broken,,,7,,,,,no,,,ge248Haeb,0.1,,,
ge,broken,,,8,,,,,yes,,,gec8b|ssc8b@ss,0.1,,,
ge,broken,,,7,,,,,yes,,,gec7b|ssc7b@ss,0.1,,,
ge,?C,,,,,,,,,,,geqcloak|ssqcloak@ss,0.1,,,
ge,?,,,,,,,,,,,geqmark|ssqmark@ss,0.1,,,
ge,?58,,,,,,,,,,,geqmark58|ssqmark58@ss,0.1,,,
ge,?me,,,,,,,,,,,geqmarkme|ssqmarkme@ss,0.1,,,
ge,?roi,,,,,,,,,,,genroi|ssnroi@ss,0.1,,,
ge,none,,,,,,,,,,,ge000H|ss000H@ss,0.1,,,
ge,none,,,,,,,,,,,ge000S|ss000S@ss,0.1,,,
ge,none,,,,,,,,,,,geblank12|ssblank12@ss,0.1,,,
ge,none,,,,,,,,,,,geblank58|ssblank58@ss,0.1,counter_size=60,,
