nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
fr,HMG,6,12,yes,3,5,B11,,,frHMG|vfHMG@vf,0.1,,,
fr,Malf,,,,,,,3/6,,frHMGb|vfHMGb@vf,0.1,,,
fr,dmHMG,,,,,3@40.0:24.0,,,,frHMGdm|vfHMGdm@vf,0.1,,,
fr,dmHMG,,,,,3@40.0:24.0,X,,,frHMGdmb|vfHMGdmb@vf,0.1,,,
fr,HMG(f),6,12,yes,3,5,B11,,,frHMGf,0.1,bkg=br,,
fr,Malf,,,,,,,3/6,,frHMGbf,0.1,bkg=br,,
fr,dmHMG(f),,,,,3@40.0:24.0,,,,frHMGfdm,0.1,bkg=br,,
fr,dmHMG(f),,,,,3@40.0:24.0,X,,,frHMGfdmb,0.1,bkg=br,,
ff,HMG(a),6,12,yes,3,5,,,,ffHMGa,0.1,,,
ff,Malf,,,,,,,3/6,,ffHMGab,0.1,,,
ff,dmHMG(a),,,,,3@40.0:24.0,,,,ffHMGadm,0.1,,,
ff,dmHMG(a),,,,,3@40.0:24.0,X,,,ffHMGadmb,0.1,,,
ff,HMG(b),6,14,yes,3,5,,,,ffHMGb,0.1,,,
ff,Malf,,,,,,,3/6,,ffHMGbb,0.1,,,
ff,dmHMG(b),,,,,3@40.0:24.0,,,,ffHMGbdm,0.1,,,
ff,dmHMG(b),,,,,3@40.0:24.0,X,,,ffHMGbdmb,0.1,,,
ff,HMG(a),8,16,yes,3,5,,,,ffHMGa50,0.1,extra=.50@E:44.5:33.0,,
ff,Malf,,,,,,,2/6,,ffHMGa50b,0.1,,,
ff,dmHMG(a),,,,,3@35.0:24.0,,,,ffHMGa50dm,0.1,extra=.50@E:44.5:43.5,,
ff,dmHMG(a),,,,,3@35.0:24.0,X,2/6,,ffHMGa50dmb,0.1,extra=.50@E:44.5:43.5,,
fr,INF,37&#x273D;,[60],,2,5,,,,frINF|vfINF@vf,0.1,,,
fr,Malf,,,,,,,1/6,,frINFb|vfINFb@vf,0.1,,,
fr,dmINF,37mm,,,,3@35.0:24.0,,,,frINFdm|vfINFdm@vf,0.1,,,
fr,dmINF,37mm,,,,3@35.0:24.0,X,,,frINFdmb|vfINFdmb@vf,0.1,,,
ff,dmMTR,76mm,,,,5,,,,ffM76dm,0.1,,,
ff,dmMTR,76mm,,,,5,X,,,ffM76dmb,0.1,,,
fr,dmMTR,81mm,,,,5,,,,frMTR81dm|vfMTR81dm@vf,0.1,,,
fr,dmMTR,81mm,,,,5,X,,,frMTR81dmb|vfMTR81dmb@vf,0.1,,,
fr,MTR(f),"<tspan style=""text-decoration:overline"">50</tspan>",[2-11],,2,5,,,,frMTR,0.1,bkg=br,,
fr,Malf,,,,,,,1/6,,frMTRb,0.1,bkg=br,,
fr,MTR,"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-42],,3,5,,,,frMTR60|vfMTR60@vf,0.1,,,
fr,Malf,,,,,,,1/6,,frMTR60b|vfMTR60b@vf,0.1,,,
fr,dmMTR,60mm,,,,3,,,,frMTR60dm|vfMTR60dm@vf,0.1,,,
fr,dmMTR,60mm,,,,3,X,,,frMTR60dmb|vfMTR60dmb@vf,0.1,,,
fr,MTR(f),"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-42],,3,5,,,,frMTR60f,0.1,bkg=br,,
fr,Malf,,,,,,,1/6,,frMTR60fb,0.1,bkg=br,,
fr,dmMTR(f),60mm,,,,3,,,,frMTR60dmf,0.1,bkg=br,,
fr,dmMTR(f),60mm,,,,3,X,,,frMTR60dmfb,0.1,bkg=br,,
fr,dmMTR(f),81mm,,,,5,,,,frMTR81dmf,0.1,bkg=br,,
fr,dmMTR(f),81mm,,,,5,X,,,frMTR82dmfb,0.1,bkg=br,,
ff,MTR(b),"<tspan style=""text-decoration:overline"">51</tspan>",[2-11],,2,4,,,,ffMTR(b),0.1,,,
ff,Malf,,,,,,,1/6,,ffMTR(b)b,0.1,,,
ff,dmMTR,51mm,,,,2,,,,ffMTR(b)dm,0.1,,,
ff,dmMTR,51mm,,,,2,X,,,ffMTR(b)dmb,0.1,,,
ff,MTR(b),"<tspan style=""text-decoration:overline"">51</tspan>",[2-8],,2,3,B11,,,ffMTR2b,0.1,,,
ff,Malf,,,,,,,1/6,,ffMTR2bb,0.1,,,
ff,MTR,"<tspan style=""text-decoration:overline"">50</tspan>",[2-11],,2,2,,,,ffMTR50,0.1,,,
ff,Malf,,,,,,,1/6,,ffMTR50b,0.1,,,
ff,MTR(a),"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-45],,3,5,,,,ffMTRa,0.1,extra=M2@E:44.5:33.0,,
ff,Malf,,,,,,,1/6,,ffMTRab,0.1,,,
ff,dmMTR(a),60mm,,,,3,,,,ffMTRadm,0.1,extra=M2@E:44.5:33.0,,
ff,dmMTR(a),60mm,,,,3,X,,,ffMTRadmb,0.1,extra=M2@E:44.5:33.0,,
ff,PIAT(b),8,3,,,1@26.0:24.0,B10,,,ffPIATb,0.1,extra=15TK,,
ff,_piat,,,,,,,,,ffPIATbb,0.1,,,
ff,BAZ44(a),8,4,,,1@24.0:24.0,X11,,,ffBAZ44a,0.1,extra=16TK,,
ff,_baz,,,,,,,,,ffBAZ44ab,0.1,,,
fr,Phone,11,,,,,X12,,?,frphone|vfphone@vf|ffphone@ff,0.1,,,
fr,_phone,,,,,,,,,frphoneb|vfphoneb@vf|ffphoneb@ff,0.1,,,
fr,Radio,7,,,,1,,,?,frradio|vfradio@vf,0.1,,,
fr,Malf,,,,,,,1/6,,frradiob|vfradiob@vf|ffradiobb@ff,0.1,,,
ff,Radio(b),8,,,,1,,,?,ffradio8b,0.1,,,
ff,Radio(b),7,,,,1,,,?,ffradiob,0.1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
