nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
br,dmHMG,,,,,3@35.0:24.0,,,,brHMGdm,0.1,,,
br,dmHMG,,,,,3@35.0:24.0,X,,,brHMGdmb,0.1,,,
br,HMG(a),6,12,yes,3,5,,,,brHMGa,0.1,,,
br,Malf,,,,,,,3/6,,brHMGab,0.1,,,
br,dmHMG(a),,,,,3@35.0:24.0,,,,brHMGadm,0.1,,,
br,dmHMG(a),,,,,3@35.0:24.0,X,,,brHMGadmb,0.1,,,
br,HMG(a),8,16,yes,3,5,,,,brHMGa50,0.1,extra=.50@E:44.5:33.0,,
br,Malf,,,,,,,2/6,,brHMGa50b,0.1,,,
br,dmHMG(a),,,,,3@35.0:24.0,,,,brHMGa50dm,0.1,extra=.50@E:44.5:44.5,,
br,dmHMG(a),,,,,3@35.0:24.0,X,,,brHMGa50dmb,0.1,extra=.50@E:44.5:44.5,,
br,LMG,2,8,yes,1,1,,,,brLMG(2-8)KFW,0.1,,,
br,Malf,,,,,,,1/6,,brLMG(2-8)KFW-malf,0.1,,,
br,LMG,2,7,yes,1,1,,,,brLMG,0.1,,,
br,Malf,,,,,,,1/6,,brLMGb,0.1,,,
br,MMG,4,12,yes,2,4,,,,brMMG,0.1,,,
br,Malf,,,,,,,2/6,,brMMGb,0.1,,,
br,dmMMG,,,,,2@35.0:24.0,,,,brMMGdm,0.1,,,
br,dmMMG,,,,,2@35.0:24.0,X,,,brMMGdmb,0.1,,,
br,MMG(a),4,10,yes,2,3,,,,brMMGa,0.1,,,
br,Malf,,,,,,,2/6,,brMMGab,0.1,,,
br,dmMMG(a),,,,,2@35.0:24.0,,,,brMMGadm,0.1,,,
br,dmMMG(a),,,,,2@35.0:24.0,X,,,brMMGadmb,0.1,,,
br,MMG,4,10,yes,2,3,,,,brMMG(4-10)KFW,0.1,,,
br,Malf,,,,,,,2/6,,brMMG(4-10)KFW-malf,0.1,,,
br,dmMMG,,,,,2@35.0:24.0,,,,brMMG(4-10)KFW-dm,0.1,,,
br,dmMMG,,,,,2@35.0:24.0,X,,,brMMG(4-10)KFW-dm-malf,0.1,,,
br,dmMTR,76mm,,,,5,,,,brM76dm,0.1,extra=S42+@M:43.5:24.0:-90,,
br,dmMTR,76mm,,,,5,X,,,brM76dmb,0.1,extra=S42+@M:43.5:24.0:-90,,
br,dmMTR,76mm,,,,5,,,,brM76sdm,0.1,extra=&#x003C;S42@M:43.5:24.0:-90,,
br,dmMTR,76mm,,,,5,X,,,brM76sdmb,0.1,extra=&#x003C;S42@M:43.5:24.0:-90,,
br,dmMTR,81mm,,,,5,,,,brM81dm,0.1,extra=S42+@M:43.5:24.0:-90,,
br,dmMTR,81mm,,,,5,X,,,brM81dmb,0.1,extra=S42+@M:43.5:24.0:-90,,
br,dmMTR,81mm,,,,5,,,,brM81sdm,0.1,extra=&#x003C;S42@M:43.5:24.0:-90,,
br,dmMTR,81mm,,,,5,X,,,brM81sdmb,0.1,extra=&#x003C;S42@M:43.5:24.0:-90,,
br,dmMTR,51mm,,,,2,,,,brMTR(51)KFW-dm,0.1,,,
br,dmMTR,51mm,,,,2,X,,,brMTR(51)KFW-dm-malf,0.1,,,
br,MTR,"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[2-18],,2,4,B11,,,brMTR(60M19)KFW,0.1,,,
br,Malf,,,,,,,1/6,,brMTR(60M19)KFW-malf,0.1,,,
br,dmMTR,60mm,,,,2,,,,brMTR(60M19)KFW-dm,0.1,,,
br,dmMTR,60mm,,,,2,X,,,brMTR(60M19)KFW-dm-malf,0.1,,,
br,MTR,"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-45],,3,5,,,,brMTR(60M2)KFW,0.1,,,
br,Malf,,,,,,,1/6,,brMTR(60M2)KFW-malf,0.1,,,
br,dmMTR,60mm,,,,3,,,,brMTR(60M2)KFW-dm,0.1,,,
br,dmMTR,60mm,,,,3,X,,,brMTR(60M2)KFW-dm-malf,0.1,,,
br,dmMTR,81mm,,,,5,,,,brMTR(81-3in)KFW-dm,0.1,extra=3in@M:43.5:24.0:-90,,
br,dmMTR,81mm,,,,5,X,,,brMTR(81-3in)KFW-dm-malf,0.1,extra=3in@M:43.5:24.0:-90,,
br,dmMTR,51mm,,,,2,,,,brMTR(81-M1L)KFW-dm,0.1,extra=3in@M:43.5:24.0:-90,,
br,dmMTR,51mm,,,,2,X,,,brMTR(81-M1L)KFW-dm-malf,0.1,extra=3in@M:43.5:24.0:-90,,
br,MTR,"<tspan style=""text-decoration:overline"">51</tspan>",[2-11],,2,4,,,,brMTR,0.1,,,
br,Malf,,,,,,,1/6,,brMTRb,0.1,,,
br,dmMTR,51mm,,,,2,,,,brMTRdm,0.1,,,
br,dmMTR,51mm,,,,2,X,,,brMTRdmb,0.1,,,
br,MTR,"<tspan style=""text-decoration:overline"">51</tspan>",[2-8],,2,4,B11,,,brMTR2,0.1,,,
br,Malf,,,,,,,1/6,,brMTR2b,0.1,,,
br,MTR(a),"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-45],,3,5,M2,,,brMTRa,0.1,,,
br,Malf,,,,,,,1/6,,brMTRab,0.1,,,
br,dmMTR,60mm,,,,3,,,,brMTRadm,0.1,,,
br,dmMTR,60mm,,,,3,X,,,brMTRadmb,0.1,,,
br,PIAT,8,3,,,1@26.0:24.0,B10,,,brPIAT,0.1,extra=15TK,,
br,_piat,,,,,,,,,brPIATb,0.1,,,
br,RCL,"<tspan style=""text-decoration:overline"">57</tspan>",,,1,3,B11,,,brRCL(57)KFW,0.1,,,
br,Malf,,,,,,,1/6,,brRCL(57)KFW-malf,0.1,,,
br,RCL,"<tspan style=""text-decoration:overline"">75</tspan>",,,1,5,,,,brRCL(75)KFW,0.1,,,
br,Malf,,,,,,,1/6,,brRCL(75)KFW-malf,0.1,,,
br,Phone,11,,,,,X12,,?,brphone,0.1,,,
br,_phone,,,,,,,,,brphoneb,0.1,,,
br,Radio,8,,,,1,,,?,brradio,0.1,,,
br,Malf,,,,,,,1/6,,brradiob,0.1,,,
br,Legacy,,,,,,,,,brFascineBU,0.1,counter_size=60,,
br,Legacy,,,,,,,,,brFascineCE,0.1,counter_size=60,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
