count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
4,Type 96 Twin-Mount Naval High-Angle Machine Cannon,AA,25LL,3 (12),,169,–†,1,44-45†<sup>1</sup>,"T, NM†, 2 TK DR†<sup>1</sup>",37,1.5-1.0†<sup>1</sup>,"22†<sup>1</sup>, D†, E",1.0,jaAA25L2,,ma=[*]$$|qual=b,,,,
2,Type 96 Triple-Mount Naval High-Angle Machine Cannon,AA,25LL,3 (16),,169,–†,1,44-45†<sup>1</sup>,"T, NM†, 3 TK DR†<sup>1</sup>",43,1.6-1.1†<sup>1</sup>,"22†<sup>1</sup>, D†, E",1.0,jaAA25L3,,ma=[*]$$|qual=c,,,,
4,Type 88 7.5cm Mobile Field High-Angle Gun,AA,75,2,,345,<b>6</b>,-1,28-45,T,41,1.4-1.1†,"23†, E",1.0,jaAA75,,,no_fire,,,
2,Year-10 Type 12cm Naval High-Angle Gun,AA,120L,1,,388,-†,-1,7/43-7/45†<sup>1</sup>,"T, NM†",63,1.6-1.2†<sup>1</sup>,"24†<sup>1</sup>, D†, E",1.0,jaAA120L,,,,,,
10,Type 10 8cm Naval High-Angle Gun,AA,76L,1,,,-†,-1,21-45,"T, NM†, “13” AP TK#†<sup>1</sup>",38,1.2-1.6†<sup>1</sup>,"25†<sup>1</sup>, D†, E",1.0,jaAA76L,,,,,,
0,Generic AA,AA,,,,,,,,,,,g1,1.0,jaAAgen,1/,gt=AA|mount=T,no_fire,,,
0,Generic ART,ART,,,,,,,,,,,g2,1.0,jaARgen,1/,,no_fire,,,
0,Generic AT,AT,,,,,,,,,,,g3,1.0,jaATgen,1/,,no_fire,,,
0,Generic INF,INF,,,,,,,,,,,g4,1.0,jaINFgen,1/,,no_fire,,,
0,Generic MTR,MTR,,,,,,,,,,,g5,1.0,jaMTRgen,1/,,no_fire,,,
