count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>SLOVAKIAN</b>,,,,,,,,,,,,,,,,,announce,,,,
4,Minomet vz. 36,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,2-55,11,1,39-8/44,"NT, QSU",28,1,"28, A",1.0,slMT81s,,nat=ax|range=$$,,,,
3,Kanon PUV vz. 36(t),AT,47L,3,11,162,10,1,39-8/44,"NT, QSU, A5<sup>1</sup>/4<sup>2</sup>",28,1,"29, E",1.0,slAT47L,,nat=ax|ma=[*]$$,,,black_th,
2,leIG 18(g),INF,"<span style=""text-decoration:overline"">75</span>*",2,,115,10,1,39-8/44,"NT, QSU, H7<sup>3+</sup>",34,1.2,"30, A, E",1.0,slIN75s,,nat=ax|ma=[*]$$,,,black_th,
2,Skoda M37(K4),ART,"<span style=""text-decoration:overline"">150</span>L",,11,282,4,-1,39-8/44,"NT, s6",37,1.5,31,1.0,slAR150L,,nat=ax,no_fire,,,
4,Skoda 47L40(t),AA,47L,3†,11,162,10,1,39-8/44,"T, QSU, AA Fire ROF 2†",31,1,"32†, E",1.0,slAA47L,,nat=ax|ma=[*]$$|rof=$$[*],,,black_th,
4,Skoda PL vz. 37(t),AA,75L,2,,324,<b>5</b>,-1,39-8/44,T,40,1.2,"33, E",1.0,slAA75L,,nat=ax|ma=[*]$$,no_fire,,black_th,
2,Kanon PL vz. 22/24,AA,83L†,2,11,400,<b>3</b>,-1,39-8/44,ST,37,1.4,34†,1.0,slAA83L,,nat=ax|ma=$$,no_fire,,,
<b>CROATIAN</b>,,,,,,,,,,,,,,,,,announce,,,,
4,Cannone da 65/17,INF,"<span style=""text-decoration:overline"">65</span>*",1,11,163,10,1,41-45,"NT, no Gunshield",20,1,"35, A",1.0,crIN65s,,nat=ax,no_fire,,,
2,Skoda M28(FE),ART,"<span style=""text-decoration:overline"">100</span>*",1,,220,10,1,41-45,NT,27,1.4,"36, A",1.0,crAR100s,,nat=ax,no_fire,,,
<b>BULGARIAN</b>,,,,,,,,,,,,,,,,,announce,,,,
4,LG de 50 mle 37,MTR,"<span style=""text-decoration:overline"">50</span>",2,11,2-11,,,41-45,2PP,,,"37, A",,,,ignore,,,,
4,Madsen M-35,AT,20L,2 (6),11,50,12†<sup>1</sup>,1,41-45,"NT, QSU, R2, IFE=B10†, no Gunshield",25,1.2-1.5†,"38†, T†<sup>1</sup>",1.0,buAT20L,,nat=ax|mb=$$[*]|range=$$,,,Towing NA,
4,"Skoda Infantry Gun
Skoda Infantry Gun","INF
INF","<span style=""text-decoration:underline"">37</span>*
<span style=""text-decoration:overline"">70</span>*","3
2","11
11","80
80","12
12","+1
+1","41-45
41-45","NT, QSU, h-d
NT, QSU, h-d","22
22",".9-1.2†
.9-1.2†","39†
39†",,,,ignore,,,,
4,Bofors 75mm M36,ART,"<span style=""text-decoration:overline"">75</span>*",1,11,204,<b>8</b>,0,41-45,"NT, QSU, h-d",22,1.3-1.0†,"40†, A",1.0,buAR75s,,nat=ax,,,,
4,75mm K-S,ART,"<span style=""text-decoration:overline"">75</span>",1,11,225,<b>9</b>,0,41-45,"NT, QSU, s5, h-d",27,1.0-1.4†,41†,1.0,buAR75,,nat=ax,,,,
4,Ob 105mm GP,ART,"<span style=""text-decoration:overline"">105</span>",,,275,<b>6</b>,0,41-45,"NT, s5, LF [105*†<sup>1</sup>]",32,1.0-1.4†,"42†, G†<sup>1</sup>",1.0,buAR105,,nat=ax,"ma=<*><tspan style=""text-decoration:overline"">105</tspan><*>",,,
2,D/30 Krupp,ART,"<span style=""text-decoration:overline"">150</span>*",,,243,<b>2</b>,-1,41-45,"NT, RFNM, no IF",33,1.5,43,1.0,buAR150s,,nat=ax|ma=[*]$$,,,,
<b>COMMON</b>,,,,,,,,,,,,,,,,,announce,,,,
5+<i>5</i>,5cm leGrW 36,MTR,"<span style=""text-decoration:overline"">50</span>*",3,11,2-13,,,39-45,5PP,,,"44, A, B, C, H, S",,,,ignore,,,,
4+<i>5</i>,50mm RM obr. 40,MTR,"<span style=""text-decoration:overline"">50</span>*",3,,3-20,,,39-45,4PP,,,"45, A, C, H, R, S",,,,ignore,,,,
4,8cm GrW 34,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,2-60,11,1,41-45,"NT, QSU, s7, IR",30,1.0-1.1†,"46†, A, B, C",1.0,axMT81sg|huMT81sg@hu,,range=$$,,,,
4+<i>4</i>,Brandt M27/31,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-71,11,1,39-45,"NT, QSU, s7",30,1.0-1.4†,"47†, A, H, R, S",1.0,axMT81s|huMT81s@hu,,range=$$,,,,
4+<i>2</i>,PM obr. 38,MTR,"<span style=""text-decoration:overline"">120</span>*",2,,12-151,<b>9</b>,1,9/41-45,"NT, QSU, s8, h-d",24,1.6-1.0†,"48†, H, R",1.0,axMT120s|huMT120s@hu,,range=$$@sz-1.5,,,,
5+<i>5</i>,Ur wz. 35,ATR,,,,12,,,39-45,1PP,,,"49, B, C, H, R, S",,,,ignore,,,,
5+<i>5</i>,s18-1100,ATR,"<span style=""text-decoration:underline"">20</span>L",2,,12,,,39-45,5PP,,,"50, A, H, R",,,,ignore,,,,
4+<i>4</i>,Kanon PUV vz. 37(t),AT,37L,3,,120,12,1,39-45,"NT, QSU, A4<sup>1S</sup>†",27,1.0-1.6†,"51†, B, E, H, S",1.0,axAT37L|huAT37L@hu,,ma=[*]$$,,,black_th,
4+<i>4</i>,Bohler M35,AT,47,3,,107,12,1,39-45,"NT, QSU, no Gunshield",29,1.3-.9†,"52†, A, H, R, S",1.0,axAT47|huAT47@hu,,,,,,
4+<i>2</i>,5cm PaK 38(g),AT,50L,3,,75,10,1,11/41-45,"NT, QSU, A4<sup>3</sup>/3<sup>4</sup>",37,1.1-1.6†,"53†, B, E, H, R, S",1.0,axAT50L|huAT50L@hu,,ma=[*]$$|range=$$,,,black_th,
4,7.5cm PaK 97/38(g),AT,75,2,11,275,8,0,7/42-45,"NT, QSU, H5<sup>3+</sup>, s6",36,1.2-1.4†,"54†, B, E, R",1.0,axAT75,,ma=[*]$$,,,black_th,
4+<i>4</i>,7.5cm PaK 40(g),AT,75L,2,,192,8,1,10/42-45,"NT, QSU, A4<sup>3</sup>/3<sup>4</sup>",41,1.2-1.6†,"55†, B, E, H, R, S",1.0,axAT75L|huAT75L@hu,,ma=[*]$$,,,black_th,
4+<i>4</i>,Skoda M15,ART,"<span style=""text-decoration:overline"">75</span>*",1,,206,10,1,39-45,"NT, QSU",24,1.0-1.5†,"56†, A, B, C, H, R, S",1.0,axAR75s|huAR75s@hu,,,,,,
4,Canon de 75 mle 1897,ART,75,1,,277,8,0,39-45,"NT, QSU, s7",33,1,"57, B, R",1.0,axAR75,,,,,,
4,Skoda M29,ART,75,2,,230,8,0,39-45,"NT, AP6",38,1.4-1.6†,"58†, A, R, S",1.0,axAR752,,,no_fire,,,
4,Skoda M17,ART,76*,1,,270,8,0,39-45,"NT, QSU",30,1.1-1.4†,"59†, A, C, R, S",1.0,axAR76s,,,,,,
2,Skoda M28(80),ART,"<span style=""text-decoration:overline"">80</span>*",2,,320,6,0,39-45,T,24,1.5-1.3†,"60†, C, S",1.0,axAR80s,,,no_fire,,,
4+<i>4</i>,Skoda M14/19,ART,"<span style=""text-decoration:overline"">100</span>*",1,11,232,<b>6</b>,0,41-45,"NT, s8",28,1.0-1.3†,"61†, A†, C, H, R, S",1.0,axAR100s|huAR100s@hu,,,no_fire,,,
4+<i>2</i>,leFH 18(g),ART,105,1,,266,<b>6</b>,0,41-45,"NT, H4<sup>3+</sup>, s5",36,1.0-1.6†,"62†, B, E, H, S",1.0,axAR105|huAR105@hu,,ma=[*]$$,no_fire,,black_th,
2,Skoda M35,ART,105L,1,,455,9,0,39-45,"NT, AP7, C7<sup>CS</sup>†",40,1.3,"63†, C, R, S",1.0,axAR105L,,,no_fire,,,
4,G obr. 10/30,ART,"<span style=""text-decoration:overline"">122</span>*",1,11,223,<b>8</b>,0,41-45,"NT, s7, h-d",26,1.6-1.3†,"64†, B, R",1.0,axAR122s,,,no_fire,,,
2,G obr. 38,ART,"<span style=""text-decoration:overline"">122</span>",1,,303,<b>6</b>,0,9/41-9/44†,"NT, s5<sup>1-2R</sup>†",32,1.4,"65, B, R",1.0,axAR122,,,no_fire,,,
3+<i>2</i>,Skoda M14,ART,"<span style=""text-decoration:overline"">150</span>*",,,220,<b>5</b>,-1,39-45,NT,40,1.6-1.2†,"66†, H, R, S",1.0,axAR150s|huAR150s@hu,,,no_fire,,,
2,Skoda M15/16,ART,152,,,546,<b>6</b>,-1,39-45,"NT, s6, no IF",42,1.6-1.5†,"67†, C, S",1.0,axAR152,,,no_fire,,,
2,C mle 17 S,ART,"<span style=""text-decoration:overline"">155</span>*",,11,282,<b>6</b>,-1,39-45,"NT, s7",38,1.4-1.5†,"68†, B, R",1.0,axAR155s,,,no_fire,,,
4,Mitr. de 13.2 CAJ mle 30,AA,12.7†,3 (12),11,†,<b>6</b>†<sup>1</sup>,1,39-45,"T, 2 TK DR†",29,1.5,"69†, B, R, T†<sup>1</sup>",1.0,axAA127,,,no_fire,,Towing NA,
4+<i>4</i>,Oerlikon FF,AA,20L,3 (4),,125,12,1,39-45,"T, LF [NT, 20†, 2 ROF, B11]",29,1,"70, B, C, G†, H, R, S",1.0,axAA20L|huAA20L@hu,,,ma=<*>20|ife=|mb=B11|rof=2|mount=NT,,,
4,2cm FlaK 30(g),AA,20L,3 (4),10,120,10,1,41-45,"T, LF [NT, 20†<sup>1</sup>, 2 ROF, B9]",25,1.5-1.2†,"71†, B, E, G†<sup>1</sup>, R",1.0,axAA20Lg1,,ma=[*]$$,ma=<*>20|mb=B9|rof=2|ife=(4)|size=0|mount=NT,,black_th,
4,2cm FlaK 38(g),AA,20L,3 (6),11,120,10,1,41-45,"T, LF [NT, 20†<sup>1</sup>, 2 ROF, B10]",30,1.5-1.1†,"72†, B, E, G†<sup>1</sup>, R",1.0,axAA20Lg2,,ma=[*]$$,ma=<*>20|mb=B10|rof=2|ife=(6)|size=0|mount=NT,,black_th,
4,3.7cm FlaK 36(g),AA,37L,3 (8),11,164,8,0,41-45,T,34,1.5-1.2†,"73†, B, E, R",1.0,axAA37L,,ma=[*]$$,no_fire,,black_th,
4+<i>4</i>,Bofors 40mm,AA,40L,3 (8),,247,8,0,41-45,"T, LF [40†<sup>1</sup>, 2 ROF]",40,.9-1.4†,"74†, C, G†<sup>1</sup>, H, R, S",1.0,axAA40L|huAA40L@hu,,,ma=<*>40|rof=2|ife=(8),,,
2,Skoda M33,AA,76L,2,,230,<b>2</b>,-1,39-45,T,36,1.3,"75, R, S",1.0,axAA76L,,,no_fire,,,
2,8.8cm FlaK 18 o. 36(g),AA,88L,2,,370,<b>4</b>,-1,41-45,"T, LF [88†<sup>1</sup>, 1 ROF, B11]",55,1.6-1.4†,"76†, B, E, G†<sup>1</sup>, R, S",1.0,axAA88L,,ma=[*]$$,ma=<*>88|mb=B11|rof=1,,,
4,3.7cm PaK 35/36(g),AT,37L,3,,120,12,+1,36-45,"NT, QSU, A4<sup>1</sup>/5<sup>2</sup>/4<sup>3</sup>/3<sup>4</sup>, H6[9]†",30,1.0,"6g, B†, N, P",1.0,crAT37L,,nat=ax|ma=[*]$$|ammo=H6[9],,,black_th,
4,Mortaio da 81/14(i),MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-102,11,+1,36-5/45†,"NT, QSU, s8, IR",28,1.0-1.5†,"2i†, N",1.0,crMT81si,,nat=ax|range=$$,,,,
4,Obice da 75/13(i),ART,"<span style=""text-decoration:overline"">75</span>*",1,,206,10,+1,18-5/45†,"NT, QSU",26,1.2-1.6†,"8i†, A",1.0,crAR75s,,nat=ax,,,,
4,Skoda Infantry Gun (AT barrel),AT,"<span style=""text-decoration:underline"">37</span>*",3,11,80,12,+1,41-45,"NT, QSU, h-d",22,.9-1.2†,39†,1.0,buIN37s,,nat=ax|gt=INF|qual=a,,,,
4,Skoda Infantry Gun (INF barrel),INF,"<span style=""text-decoration:overline"">70</span>*",2,11,80,12,+1,41-45,"NT, QSU, h-d",22,.9-1.2†,39†,1.0,buIN37s2,,nat=ax|gt=INF|qual=b,,,ignore,
0,Generic AA,AA,,,,,,,,,,,g1,1.0,axAAgen|huAAgen@hu,1/,gt=AA|mount=T,no_fire,,,
0,Generic ART,ART,,,,,,,,,,,g2,1.0,axARgen|huARgen@hu,1/,,no_fire,,,
0,Generic AT,AT,,,,,,,,,,,g3,1.0,axATgen|huATgen@hu,1/,,no_fire,,,
0,Generic Ino_fire,Ino_fire,,,,,,,,,,,g4,1.0,axINgen|huINgen@hu,1/,,no_fire,,,
0,Generic MTR,MTR,,,,,,,,,,,g5,1.0,axMTgen|huMTgen@hu,1/,,no_fire,,,
