nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
am,dmMTR,60mm,,,,3,X,,,amMTRdmb,0.1,extra=M2@E:44.5:18.0,,
am,MTR,"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[2-18],,3,4,B11,,,amMTRa,0.1,extra=M19@S:2.0:8.0,,
am,Malf,,,,,,,1/6,,amMTRab,0.1,,,
am,dmMTR,60mm,,,,2,,,,amMTRadm,0.1,extra=M19@E:44.5:18.0,,
am,dmMTR,60mm,,,,2,X,,,amMTRadmb,0.1,extra=M19@E:44.5:18.0,,
am,RCL,"<tspan style=""text-decoration:overline"">57</tspan>",,,1,3,B11,,,amRCLa,0.1,,,
am,Malf,,,,,,,1/6,,amRCLab,0.1,,,
am,RCL,"<tspan style=""text-decoration:overline"">75</tspan>",,,1,5,,,,amRCL,0.1,,,
am,Malf,,,,,,,1/6,,amRCLb,0.1,,,
am,PF,16,3,,,,,,,amPF,0.1,extra=31TK@E:44.5:32.0,,
am,_pf,,,,,,,,,amPFb,0.1,,,
am,Phone,11,,,,,X12,,?,amphone,0.1,,,
am,_phone,,,,,,,,,amphoneb,0.1,,,
am,Radio,8,,,,1,,,?,amradio,0.1,,,
am,Malf,,,,,,,1/6,,amradiob,0.1,,,
am,SFCP,8,,,,3@30.0:28.0,X12,,?@39.0:26.0,amradioSFCP,0.1,bkg=sk,,
am,Malf,,,,,,,Retain/No Repair,,amradioSFCPb,0.1,bkg=sk,,
us,LMG,2,8,yes,1,2,,,,usLMG(2-8)KFW,0.1,,,
us,Malf,,,,,,,1/6,,usLMG(2-8)KFW-malf,0.1,,,
us,BAZ50,12,5,,,1@20.0:24.0,X11,,,usBaz(50)KFW,0.1,extra=TK32!WP6<sup>2+</sup>@E:44.5:19.0,,
us,_baz,,,,,,,,,usBaz(50)KFW-back,0.1,,,
us,RCL,"<tspan style=""text-decoration:overline"">57</tspan>",,,1,3,B11,,,usRCL57(M18L)KFW,0.1,,,
us,Malf,,,,,,,1/6,,usRCL57(M18L)KFW-malf,0.1,,,
us,RCL,"<tspan style=""text-decoration:overline"">75</tspan>",,,1,5,,,,usRCL75(M20L)KFW,0.1,,,
us,Malf,,,,,,,1/6,,usRCL75(M20L)KFW-malf,0.1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
