nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
un,Malf,,,,,,,1/6,,unMTR60(KFW)x|skMTRM2(60)(KFW)-malf@sk,0.1,,,
un,dmMTR,60mm,,,,3,,,,unMTR60(KFW)dm|skMTRM2(60)(KFW)-dm@sk,0.1,,,
un,dmMTR,60mm,,,,3,X,,,unMTR60(KFW)dmx|skMTRM2(60)(KFW)-dm-malf@sk,0.1,,,
sk,MTR,"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[1-16],,2[*],4,B11,,,skMTR(50)(KFW),0.1,,,
sk,Malf,,,,,,,1/6,,skMTR(50)(KFW)-malf,0.1,,,
sk,dmMTR,50mm,,,,2,,,,skMTR(50)(KFW)-dm,0.1,,,
sk,dmMTR,50mm,,,,2,X,,,skMTR(50)(KFW)-dm-malf,0.1,,,
un,RCL,"<tspan style=""text-decoration:overline"">57</tspan>",,,1,3,B11,,,unRCL57(KFW)|skRCL57(KFW)@sk,0.1,,,
un,Malf,,,,,,,1/6,,unRCL57(KFW)x|skRCL57(KFW)-malf@sk,0.1,,,
un,RCL,"<tspan style=""text-decoration:overline"">75</tspan>",,,1,5,,,,unRCL75(KFW)|skRCL75(KFW)@sk,0.1,,,
un,Malf,,,,,,,1/6,,unRCL75(KFW)x|skRCL75(KFW)-malf@sk,0.1,,,
un,Phone,11,,,,,X12,,?,unphone(KFW)|skphone(KFW)@sk,0.1,,,
un,_phone,,,,,,,,,unphone(KFW)b|skphone(KFW)-back@sk,0.1,,,
un,Radio,8,,,,1,,,?,unradio(KFW)|skradio(KFW)@sk,0.1,,,
un,Malf,,,,,,,1/6,,unradio(KFW)x|skradio(KFW)-malf@sk,0.1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
